tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.001363,  0.000320
001,  0.000188,  0.000145
001,  0.000122,  0.000120
001,  0.000113,  0.000177
001,  0.000110,  0.000137
001,  0.000135,  0.000133
001,  0.000107,  0.000132
001,  0.000120,  0.000172
001,  0.000248,  0.000137
001,  0.000218,  0.000138
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000252,  0.000190
001,  0.000135,  0.000117
001,  0.000115,  0.000122
001,  0.000108,  0.000130
001,  0.000120,  0.000117
001,  0.000095,  0.000122
001,  0.000123,  0.000118
001,  0.000117,  0.000133
001,  0.000222,  0.000120
001,  0.000248,  0.000115
-----------------------------------------------------------------------------------------------

