tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.660037,  0.000377
001,  1.004585,  0.000145
001,  0.849248,  0.000137
001,  0.827922,  0.000133
001,  0.861845,  0.000147
001,  0.822195,  0.000142
001,  0.821267,  0.000142
001,  0.838223,  0.000135
001,  0.954982,  0.000180
001,  0.863952,  0.000142
002,  0.257310,  0.000433
002,  1.127292,  0.000327
002,  0.850828,  0.000318
002,  0.833133,  0.000313
002,  0.876662,  0.000405
002,  0.846920,  0.000338
002,  0.814095,  0.000330
002,  0.834052,  0.000328
002,  0.952713,  0.000365
002,  0.923153,  0.000322
003,  0.969612,  0.000313
003,  0.904403,  0.000237
003,  0.822443,  0.000150
003,  0.843585,  0.000200
003,  0.850172,  0.000210
003,  0.807178,  0.000185
003,  0.811532,  0.000198
003,  0.931907,  0.000173
003,  0.905122,  0.000180
003,  0.806428,  0.000200
004,  1.034140,  0.000435
004,  0.896762,  0.000280
004,  0.813267,  0.000265
004,  0.846030,  0.000320
004,  0.840185,  0.000297
004,  0.800598,  0.000292
004,  0.808387,  0.000247
004,  0.934275,  0.000270
004,  0.912187,  0.000295
004,  0.816418,  0.000283
005,  0.737875,  0.000403
005,  0.975923,  0.000258
005,  0.836320,  0.000245
005,  0.843377,  0.000240
005,  0.861358,  0.000227
005,  0.816712,  0.000215
005,  0.821950,  0.000213
005,  0.853850,  0.000207
005,  0.969335,  0.000220
005,  0.841208,  0.000202
006,  0.583817,  0.000452
006,  1.030395,  0.000337
006,  0.846677,  0.000200
006,  0.828520,  0.000212
006,  0.878638,  0.000245
006,  0.826340,  0.000212
006,  0.822908,  0.000222
006,  0.838645,  0.000210
006,  0.943950,  0.000253
006,  0.884388,  0.000198
007,  0.816457,  0.000382
007,  0.983142,  0.000200
007,  0.852207,  0.000182
007,  0.861133,  0.000348
007,  0.873813,  0.000212
007,  0.837530,  0.000170
007,  0.836018,  0.000192
007,  0.871235,  0.000362
007,  0.929467,  0.000200
007,  0.851670,  0.000188
008,  1.215232,  0.000397
008,  0.860203,  0.000283
008,  0.818463,  0.000277
008,  0.860578,  0.000270
008,  0.848285,  0.000280
008,  0.805088,  0.000268
008,  0.815880,  0.012100
008,  0.938122,  0.000243
008,  0.912993,  0.000293
008,  0.841097,  0.000287
009,  0.335488,  0.000518
009,  1.085795,  0.000343
009,  0.850052,  0.000148
009,  0.830063,  0.000140
009,  0.867992,  0.000168
009,  0.845592,  0.000107
